iter	Passed	Remaining
0	1	110
1	2	106
2	3	101
3	3	93
4	4	92
5	5	91
6	7	94
7	8	95
8	9	94
9	10	92
10	11	92
11	12	90
12	13	88
13	14	87
14	15	86
15	16	84
16	17	85
17	18	83
18	19	81
19	20	80
20	21	79
21	22	78
22	23	77
23	24	76
24	25	76
25	26	75
26	27	74
27	28	72
28	29	71
29	30	70
30	31	69
31	32	68
32	33	67
33	33	65
34	34	64
35	35	63
36	36	62
37	37	61
38	38	60
39	39	59
40	40	58
41	40	56
42	41	55
43	42	54
44	43	53
45	44	52
46	46	51
47	46	50
48	47	49
49	48	48
50	49	47
51	50	46
52	51	45
53	52	44
54	53	43
55	54	42
56	54	41
57	55	40
58	56	39
59	57	38
60	58	37
61	59	36
62	60	35
63	61	34
64	62	33
65	63	32
66	64	31
67	65	30
68	66	30
69	67	29
70	68	28
71	69	27
72	70	26
73	71	25
74	72	24
75	74	23
76	75	22
77	76	21
78	76	20
79	77	19
80	78	18
81	79	17
82	80	16
83	81	15
84	82	14
85	83	13
86	84	12
87	85	11
88	86	10
89	87	9
90	88	8
91	89	7
92	90	6
93	90	5
94	91	4
95	92	3
96	93	2
97	94	1
98	95	0
99	96	0
